review_id,clip_cross_modal
R00001,0.14817506
R00002,0.14171371
R00003,0.18544325
R00004,0.20753261
R00005,0.21542501
R00006,0.15903111
R00007,0.2008484
R00008,0.29158545
R00009,0.22430235
R00010,0.1648902
R00011,0.22994564
R00012,0.22133173
R00013,0.2041463
R00014,0.22237822
R00015,0.22404033
R00016,0.16421035
R00017,0.16691706
R00018,0.2540359
R00019,0.22819807
R00020,0.18657227
R00021,0.2046888
R00022,0.27428314
R00023,0.18274185
R00024,0.13740623
R00025,0.18451953
R00026,0.20556796
R00027,0.1282922
R00028,0.17572771
R00029,0.14030033
R00030,0.18533237
R00031,0.19393517
R00032,0.23605947
R00033,0.2350629
R00034,0.23054567
R00035,0.16580155
R00036,0.26480675
R00037,0.1655764
R00038,0.26488668
R00039,0.15538716
R00040,0.18060689
R00041,0.16032504
R00042,0.23200709
R00043,0.23032944
R00044,0.30044138
R00045,0.24620864
R00046,0.17901933
R00047,0.19076273
R00048,0.2602719
R00049,0.25521433
R00050,0.101981685
R00051,0.19891189
R00052,0.2580567
R00053,0.19654432
R00054,0.2608076
R00055,0.18369931
R00056,0.13714778
R00057,0.1977508
R00058,0.22813356
R00059,0.16703528
R00060,0.18460044
R00061,0.15565717
R00062,0.15408471
R00063,0.24379179
R00064,0.15086788
R00065,0.31892315
R00066,0.15948468
R00067,0.23651096
R00068,0.23565191
R00069,0.16899371
R00070,0.21337011
R00071,0.23344222
R00072,0.20298219
R00073,0.25761768
R00074,0.25095415
R00075,0.21930999
R00076,0.26153547
R00077,0.15772423
R00078,0.18091127
R00079,0.1866297
R00080,0.2353976
R00081,0.27748287
R00082,0.22325064
R00083,0.2780558
R00084,0.24680509
R00085,0.27846408
R00086,0.17082936
R00087,0.16991279
R00088,0.2651195
R00089,0.2036528
R00090,0.1845658
R00091,0.20660011
R00092,0.1823816
R00093,0.24889489
R00094,0.19456893
R00095,0.14298883
R00096,0.19997558
R00097,0.1637152
R00098,0.19466482
R00099,0.27078518
R00100,0.26990038
R00101,0.18401387
R00102,0.14700735
R00103,0.19298501
R00104,0.20817068
R00105,0.22279075
R00106,0.22031383
R00107,0.20691988
R00108,0.21097395
R00109,0.21421443
R00110,0.18944278
R00111,0.15225028
R00112,0.25768664
R00113,0.20770338
R00114,0.2330863
R00115,0.19914125
R00116,0.26864195
R00117,0.1704078
R00118,0.25936782
R00119,0.19886495
R00120,0.1946135
R00121,0.19848527
R00122,0.1596581
R00123,0.24677086
R00124,0.18102637
R00125,0.19405726
R00126,0.32124922
R00127,0.15737641
R00128,0.16127235
R00129,0.25814018
R00130,0.18864429
R00131,0.17899248
R00132,0.19418254
R00133,0.21069664
R00134,0.26546916
R00135,0.22395279
R00136,0.28138763
R00137,0.24661513
R00138,0.1370078
R00139,0.17659666
R00140,0.14789155
R00141,0.2682401
R00142,0.24858345
R00143,0.22115804
R00144,0.15959314
R00145,0.19580893
R00146,0.108847216
R00147,0.18992385
R00148,0.29701656
R00149,0.2345862
R00150,0.25414902
R00151,0.18333331
R00152,0.26460052
R00153,0.18214886
R00154,0.16667788
R00155,0.21942183
R00156,0.27922207
R00157,0.18514037
R00158,0.18786249
R00159,0.15310308
R00160,0.22765061
R00161,0.18485112
R00162,0.2243649
R00163,0.19582458
R00164,0.21646784
R00165,0.21574607
R00166,0.16825318
R00167,0.21026862
R00168,0.20898625
R00169,0.15042236
R00170,0.18023777
R00171,0.10059112
R00172,0.17672881
R00173,0.21536899
R00174,0.2726907
R00175,0.2555106
R00176,0.20936334
R00177,0.28350344
R00178,0.20311125
R00179,0.20125793
R00180,0.2913159
R00181,0.2380201
R00182,0.1730227
R00183,0.15986574
R00184,0.1585736
R00185,0.23160428
R00186,0.1625953
R00187,0.2177268
R00188,0.17431015
R00189,0.12155124
R00190,0.24025247
R00191,0.15098359
R00192,0.32519117
R00193,0.24660829
R00194,0.117010206
R00195,0.19285262
R00196,0.16786465
R00197,0.2101874
R00198,0.1594926
R00199,0.17485695
R00200,0.23220915
R00201,0.18231493
R00202,0.25427246
R00203,0.16470687
R00204,0.10711894
R00205,0.18286285
R00206,0.1800121
R00207,0.24665424
R00208,0.20342776
R00209,0.26673967
R00210,0.16933623
R00211,0.20029995
R00212,0.12909108
R00213,0.18861185
R00214,0.26576018
R00215,0.25471193
R00216,0.18705535
R00217,0.18754984
R00218,0.20768912
R00219,0.21403044
R00220,0.2724476
R00221,0.23603043
R00222,0.21365157
R00223,0.26246613
R00224,0.19609073
R00225,0.19051173
R00226,0.28109956
R00227,0.16444282
R00228,0.23931292
R00229,0.2526791
R00230,0.21687783
R00231,0.26483095
R00232,0.15036857
R00233,0.16328312
R00234,0.13651285
R00235,0.1772422
R00236,0.2587691
R00237,0.31211895
R00238,0.22121489
R00239,0.18280186
R00240,0.19813707
R00241,0.19880253
R00242,0.27726197
R00243,0.09434272
R00244,0.17720422
R00245,0.20390052
R00246,0.20660573
R00247,0.18784007
R00248,0.17923595
R00249,0.24245705
R00250,0.17554027
R00251,0.17701665
R00252,0.2326085
R00253,0.12344253
R00254,0.20799844
R00255,0.17922351
R00256,0.22311322
R00257,0.19230485
R00258,0.12551695
R00259,0.1939289
R00260,0.15840995
R00261,0.26552054
R00262,0.20341128
R00263,0.2364451
R00264,0.1673023
R00265,0.18568711
R00266,0.20420171
R00267,0.17024618
R00268,0.19209221
R00269,0.2242744
R00270,0.20884603
R00271,0.12729217
R00272,0.20652707
R00273,0.22171919
R00274,0.20093079
R00275,0.17205213
R00276,0.15372355
R00277,0.2268709
R00278,0.26765257
R00279,0.19769484
R00280,0.20883086
R00281,0.1948353
R00282,0.20226686
R00283,0.14909725
R00284,0.19296965
R00285,0.18378827
R00286,0.19425386
R00287,0.23107818
R00288,0.19207093
R00289,0.15562026
R00290,0.17164168
R00291,0.1652331
R00292,0.14465556
R00293,0.21522473
R00294,0.2647768
R00295,0.12488534
R00296,0.16824588
R00297,0.22076003
R00298,0.15713593
R00299,0.28436702
R00300,0.20522574
R00301,0.18835634
R00302,0.13798968
R00303,0.3153295
R00304,0.16237286
R00305,0.19699901
R00306,0.2368882
R00307,0.18117425
R00308,0.16020642
R00309,0.2576963
R00310,0.23615901
R00311,0.16350588
R00312,0.21526232
R00313,0.28463322
R00314,0.22485177
R00315,0.11797199
R00316,0.19084895
R00317,0.16152789
R00318,0.23138624
R00319,0.20171726
R00320,0.26340234
R00321,0.22910097
R00322,0.16219123
R00323,0.2498321
R00324,0.22299126
R00325,0.19061555
R00326,0.20731863
R00327,0.2789695
R00328,0.15595584
R00329,0.23343553
R00330,0.17452401
R00331,0.22404057
R00332,0.18424095
R00333,0.24784678
R00334,0.20040533
R00335,0.19096187
R00336,0.14568456
R00337,0.24301204
R00338,0.24036564
R00339,0.22300044
R00340,0.20440145
R00341,0.26015255
R00342,0.27910677
R00343,0.1643873
R00344,0.15485585
R00345,0.22931731
R00346,0.3157011
R00347,0.19268051
R00348,0.14911518
R00349,0.24632803
R00350,0.13787295
R00351,0.105468325
R00352,0.1859025
R00353,0.21237174
R00354,0.15821281
R00355,0.21447909
R00356,0.20708793
R00357,0.21413517
R00358,0.1538137
R00359,0.26773322
R00360,0.2289291
R00361,0.17936817
R00362,0.19195846
R00363,0.18285449
R00364,0.110275656
R00365,0.25137
R00366,0.23366354
R00367,0.25199103
R00368,0.27678645
R00369,0.19335818
R00370,0.10290454
R00371,0.23723033
R00372,0.23084037
R00373,0.19035085
R00374,0.21423107
R00375,0.13683721
R00376,0.23198727
R00377,0.23630661
R00378,0.2276913
R00379,0.1410581
R00380,0.18019056
R00381,0.100298755
R00382,0.19243151
R00383,0.1776486
R00384,0.23554206
R00385,0.14569151
R00386,0.13031557
R00387,0.18867812
R00388,0.21356267
R00389,0.23506209
R00390,0.22564015
R00391,0.20259935
R00392,0.17173192
R00393,0.2732964
R00394,0.23082244
R00395,0.17532127
R00396,0.18601456
R00397,0.2694189
R00398,0.15869883
R00399,0.29033583
R00400,0.25025213
R00401,0.15894027
R00402,0.18266436
R00403,0.23689386
R00404,0.14840275
R00405,0.11607375
R00406,0.11500809
R00407,0.13930494
R00408,0.20363474
R00409,0.16167858
R00410,0.23948845
R00411,0.18290094
R00412,0.2307466
R00413,0.20877393
R00414,0.2673436
R00415,0.2713884
R00416,0.17865962
R00417,0.19923186
R00418,0.27289617
R00419,0.23187694
R00420,0.24740157
R00421,0.19353369
R00422,0.20922889
R00423,0.2626109
R00424,0.22732997
R00425,0.24306652
R00426,0.2244902
R00427,0.1513119
R00428,0.21214025
R00429,0.20334649
R00430,0.15766725
R00431,0.2687908
R00432,0.1988512
R00433,0.12972263
R00434,0.22492696
R00435,0.2730586
R00436,0.24228099
R00437,0.1817021
R00438,0.24185848
R00439,0.21099219
R00440,0.20396309
R00441,0.23153841
R00442,0.17337148
R00443,0.19498196
R00444,0.15879342
R00445,0.16084635
R00446,0.13421968
R00447,0.21631733
R00448,0.13702773
R00449,0.19459873
R00450,0.14484257
R00451,0.25746787
R00452,0.2814057
R00453,0.24997169
R00454,0.2533735
R00455,0.19562922
R00456,0.25925988
R00457,0.19813988
R00458,0.13118295
R00459,0.28423533
R00460,0.21397182
R00461,0.18053961
R00462,0.26454628
R00463,0.19245043
R00464,0.17763603
R00465,0.2131275
R00466,0.23363325
R00467,0.2523908
R00468,0.27604628
R00469,0.20672724
R00470,0.26902118
R00471,0.18128282
R00472,0.16706303
R00473,0.16475525
R00474,0.176864
R00475,0.16086304
R00476,0.1770277
R00477,0.19821805
R00478,0.24684617
R00479,0.13999595
R00480,0.15056784
R00481,0.2608125
R00482,0.22631022
R00483,0.17954877
R00484,0.1857093
R00485,0.17317176
R00486,0.19816083
R00487,0.18829775
R00488,0.15696728
R00489,0.18772286
R00490,0.13566548
R00491,0.17007272
R00492,0.3112425
R00493,0.22819373
R00494,0.1848743
R00495,0.16957313
R00496,0.23027517
R00497,0.17326528
R00498,0.1828028
R00499,0.18119933
R00500,0.18713304
R00501,0.20627925
R00502,0.16381054
R00503,0.16376379
R00504,0.19777536
R00505,0.10435656
R00506,0.199118
R00507,0.15934989
R00508,0.2193372
R00509,0.2377224
R00510,0.13751064
R00511,0.19807042
R00512,0.18407388
R00513,0.25617802
R00514,0.28941607
R00515,0.17675996
R00516,0.19964382
R00517,0.17592973
R00518,0.17159095
R00519,0.18202557
R00520,0.17536044
R00521,0.17777422
R00522,0.1697107
R00523,0.19672379
R00524,0.14267316
R00525,0.1219054
R00526,0.24409968
R00527,0.1824939
R00528,0.15161973
R00529,0.24731414
R00530,0.1576326
R00531,0.26288524
R00532,0.25341284
R00533,0.16764265
R00534,0.23858184
R00535,0.19856763
R00536,0.19254501
R00537,0.2007018
R00538,0.21376191
R00539,0.1311055
R00540,0.13868377
R00541,0.25547284
R00542,0.19925505
R00543,0.22271071
R00544,0.21155947
R00545,0.27576017
R00546,0.13873504
R00547,0.14562681
R00548,0.18395549
R00549,0.21090132
R00550,0.22990753
