,importance
txt_minilm_p,0.1871808123562815
img_cnn_manip,0.12543319162199068
img_reuse_in_burst,0.06644336484297843
txt_sent_count,0.05471422583487844
txt_generic_ratio,0.04823999756021471
img_burst_ratio,0.0410069413180303
txt_exclam,0.038908592137502064
txt_len,0.03864145700793645
txt_specific_ratio,0.029975451121487473
img_max_cosine,0.029778608860239135
beh_is_extreme,0.026051936137443412
beh_rating,0.02165709386990814
txt_unique_ratio,0.018792017629230984
img_min_phash_dist,0.01826644321290535
beh_hour,0.015799055422549484
clip_cross_modal,0.013843302653885009
ela_block_std,0.012210699480290597
noise_hot_frac,0.011413775755312454
beh_reviewer_span_hours,0.011326398791206053
ela_p99,0.011204774139318701
g_community_size,0.011052412581614336
cm_best_sim,0.010544236726515367
g_degree,0.010496021742630392
img_reuse_distinct_products,0.010444099329761081
ela_hot_block_frac,0.010329710395920651
beh_reviewer_count,0.01024119708217416
ela_block_skew,0.009855644108753682
noise_max_ratio,0.009736319312055708
ela_block_cv,0.009654113842836107
img_reuse_span_hours,0.009633851566414048
g_clustering,0.009629061955807958
img_reuse_count,0.009469917032315315
ela_mean,0.009468074086956437
noise_mean_var,0.009311578554707564
noise_var_cv,0.009288944068002188
img_reuse_distinct_reviewers,0.009266908191020811
ela_block_max_ratio,0.009052656938174922
cm_pairs,0.006774726837560156
txt_exact_dup_count,0.004862385893189959
txt_has_number,0.0
g_in_community,0.0
