model,cv_roc_auc,cv_accuracy,accuracy,f1,roc_auc,pr_auc_holdout15,acc_unseen_text,edited_photo_caught,fake_text_caught,coordinated_caught,false_alarms,seconds
Random Forest 500 (current),0.938612603022532,0.876706827309237,0.9296296296296296,0.9272030651340996,0.9612315195854292,0.9477778800220268,0.9296296296296296,0.8222222222222222,0.8666666666666667,1.0,0.037037037037037,6
Extra Trees 500,0.9419454524927016,0.876706827309237,0.925925925925926,0.921875,0.9652613930803232,0.9531298250191224,0.925925925925926,0.7925925925925926,0.8296296296296296,1.0,0.0222222222222222,5
"Extra Trees 1000, leaf 1",0.9408645021854488,0.8779116465863454,0.9308641975308642,0.927461139896373,0.964435299497028,0.9545398367436816,0.9308641975308642,0.8148148148148148,0.837037037037037,1.0,0.0222222222222222,9
"Extra Trees 1000, leaf 2, sqrt",0.9420112578829372,0.8763052208835341,0.925925925925926,0.921875,0.9658283798201496,0.9540877479682466,0.925925925925926,0.7925925925925926,0.8296296296296296,1.0,0.0222222222222222,8
Soft vote ET+RF+HGB,0.9411603038660666,0.8795180722891566,0.9222222222222224,0.9195402298850576,0.9641030330742264,0.9580353471296784,0.9222222222222224,0.8148148148148148,0.8518518518518519,1.0,0.0444444444444444,24
HistGradientBoosting,0.9324585087337302,0.8751004016064257,0.9197530864197532,0.9174078780177892,0.9651760402377688,0.9611568651695876,0.9197530864197532,0.8296296296296296,0.8444444444444444,1.0,0.0518518518518518,9
XGBoost,0.9350913694940404,0.8751004016064257,0.9185185185185184,0.9164556962025316,0.9660051821368696,0.9516071010625736,0.9185185185185184,0.8222222222222222,0.8592592592592593,1.0,0.0567901234567901,5
XGBoost deep,0.935659102272544,0.8734939759036144,0.917283950617284,0.9157232704402516,0.9646273433927754,0.950165701175434,0.917283950617284,0.8296296296296296,0.8666666666666667,1.0,0.0641975308641975,10
Logistic regression,0.9301869324688312,0.8530120481927711,0.9,0.8960205391527599,0.9631397652796828,0.910011728676819,0.9,0.8148148148148148,0.7703703703703704,1.0,0.0617283950617283,0
Stacking (RF+XGB+HGB -> LR),,,0.9197530864197531,0.9178255372945638,0.963499466544734,0.9523640783558703,0.9197530864197531,0.8222222222222222,0.8666666666666667,1.0,0.056790123456790124,31
