held-out category,rows,fake %,accuracy,F1,MCC,ROC-AUC,image-only ROC,text-only ROC,edit-CNN ROC
Bluetooth speaker,225,48.9,0.8977777777777778,0.8930232558139535,0.7960411646739438,0.9577865612648221,0.8263241106719368,0.8405533596837944,0.8796068796068797
Handbags,224,49.1,0.9241071428571429,0.9170731707317074,0.8555515781718036,0.9665869218500798,0.8551834130781498,0.8150717703349283,0.9083538083538083
Knifes,222,49.5,0.9099099099099099,0.9,0.8331955809010618,0.9709415584415585,0.8399350649350651,0.836038961038961,0.8719901719901721
Office cair,222,49.5,0.8288288288288288,0.8256880733944955,0.6576810999678763,0.9079545454545456,0.8050324675324675,0.7981331168831169,0.7852579852579853
Phone case,222,49.5,0.8693693693693694,0.8585365853658536,0.745252969953848,0.9250811688311689,0.8061688311688313,0.816396103896104,0.8727272727272727
Shoes,222,49.5,0.8738738738738738,0.8556701030927835,0.7686734856641798,0.9272727272727271,0.8275974025974026,0.8146103896103896,0.8334152334152335
Sunglasses,223,49.3,0.8834080717488789,0.8673469387755102,0.784602875689709,0.9522123893805311,0.7989541432019307,0.8000804505229283,0.9439803439803439
Watches,224,49.1,0.9017857142857143,0.89,0.8160903274436111,0.9584529505582137,0.8492822966507176,0.8047049441786285,0.9233415233415233
Water bottle,224,49.1,0.9151785714285714,0.9054726368159204,0.8420753583206845,0.9685805422647529,0.8348484848484848,0.8356459330143541,0.9361179361179361
Wireless_Earbuds,224,49.1,0.9196428571428571,0.9117647058823529,0.8475667494046604,0.9876395534290272,0.8674641148325357,0.8078149920255183,0.9626535626535626
Yoga mat,226,48.7,0.8672566371681416,0.85,0.7449611674334947,0.9251567398119123,0.8128526645768025,0.8005485893416928,0.8484029484029485
backpack,222,49.5,0.9009009009009009,0.8921568627450981,0.8100106568036408,0.956737012987013,0.8500811688311689,0.7803571428571427,0.9083538083538083
mouse,223,49.3,0.8923766816143498,0.8775510204081632,0.8030300943604626,0.979243765084473,0.8592115848753017,0.8069187449718423,0.971007371007371
skincare set,222,49.5,0.8783783783783784,0.8720379146919431,0.7590624495718457,0.9338474025974026,0.8169642857142857,0.8323051948051949,0.8196560196560196
suitcases,223,49.3,0.8789237668161435,0.864321608040201,0.7710634445733173,0.9327433628318585,0.8029766693483508,0.8156878519710379,0.8437346437346437
